 table_schema |        table_name        |     column_name     |          data_type          | character_maximum_length | is_nullable | primary_key |           foreign_key           
--------------+--------------------------+---------------------+-----------------------------+--------------------------+-------------+-------------+---------------------------------
 public       | analysis_cache           | id                  | integer                     |                          | NO          | PK          | 
 public       | analysis_cache           | query_hash          | text                        |                          | NO          |             | 
 public       | analysis_cache           | query_text          | text                        |                          | NO          |             | 
 public       | analysis_cache           | analysis_result     | jsonb                       |                          | NO          |             | 
 public       | analysis_cache           | created_at          | timestamp without time zone |                          | YES         |             | 
 public       | candidate                | regnumber           | character varying           |                       20 | NO          | PK          | 
 public       | candidate                | maritalstatus       | character varying           |                       20 | YES         |             | 
 public       | candidate                | is_blind            | boolean                     |                          | YES         |             | 
 public       | candidate                | is_deaf             | boolean                     |                          | YES         |             | 
 public       | candidate                | address             | text                        |                          | YES         |             | 
 public       | candidate                | noofsittings        | integer                     |                          | YES         |             | 
 public       | candidate                | is_mock_candidate   | boolean                     |                          | YES         |             | 
 public       | candidate                | email               | character varying           |                      100 | YES         |             | 
 public       | candidate                | gsmno               | character varying           |                       20 | YES         |             | 
 public       | candidate                | surname             | character varying           |                      100 | YES         |             | 
 public       | candidate                | firstname           | character varying           |                      100 | YES         |             | 
 public       | candidate                | middlename          | character varying           |                      100 | YES         |             | 
 public       | candidate                | gender              | character varying           |                       10 | YES         |             | 
 public       | candidate                | statecode           | integer                     |                          | YES         |             | FK -> state.st_id
 public       | candidate                | aggregate           | integer                     |                          | YES         |             | 
 public       | candidate                | app_course1         | character varying           |                      100 | YES         |             | FK -> course.course_code
 public       | candidate                | inid                | character varying           |                       20 | YES         |             | FK -> institution.inid
 public       | candidate                | lg_id               | integer                     |                          | YES         |             | FK -> lga.lg_id
 public       | candidate                | year                | integer                     |                          | NO          |             | 
 public       | candidate                | is_admitted         | boolean                     |                          | YES         |             | 
 public       | candidate                | is_direct_entry     | boolean                     |                          | YES         |             | 
 public       | candidate                | malpractice         | text                        |                          | YES         |             | 
 public       | candidate                | date_of_birth       | date                        |                          | YES         |             | 
 public       | candidate                | saved_at            | timestamp without time zone |                          | YES         |             | 
 public       | candidate                | created_at          | timestamp without time zone |                          | YES         |             | 
 public       | candidate                | updated_at          | timestamp without time zone |                          | YES         |             | 
 public       | candidate_disabilities   | cand_reg_number     | character varying           |                       20 | NO          | PK          | FK -> candidate.regnumber
 public       | candidate_disabilities   | is_blind            | boolean                     |                          | YES         |             | 
 public       | candidate_disabilities   | is_deaf             | boolean                     |                          | YES         |             | 
 public       | candidate_disabilities   | other_challenges    | character varying           |                      100 | YES         |             | 
 public       | candidate_exam_info      | cand_reg_number     | character varying           |                       20 | NO          | PK          | FK -> candidate.regnumber
 public       | candidate_exam_info      | exam_town           | character varying           |                      100 | YES         |             | 
 public       | candidate_exam_info      | exam_centre         | character varying           |                      200 | YES         |             | 
 public       | candidate_exam_info      | exam_number         | character varying           |                       20 | YES         |             | 
 public       | candidate_exam_info      | mock_state_id       | integer                     |                          | YES         |             | FK -> state.st_id
 public       | candidate_exam_info      | mock_town           | character varying           |                      100 | YES         |             | 
 public       | candidate_exam_info      | is_mock_candidate   | boolean                     |                          | YES         |             | 
 public       | candidate_scores         | cand_reg_number     | character varying           |                       20 | NO          | PK          | FK -> candidate.regnumber
 public       | candidate_scores         | subject_id          | integer                     |                          | NO          | PK          | FK -> subject.su_id
 public       | candidate_scores         | score               | integer                     |                          | YES         |             | 
 public       | candidate_scores         | year                | integer                     |                          | NO          | PK          | 
 public       | course                   | course_code         | character varying           |                      100 | NO          | PK          | 
 public       | course                   | instid              | integer                     |                          | YES         |             | 
 public       | course                   | facid               | integer                     |                          | YES         |             | FK -> faculty.fac_id
 public       | course                   | facid               | integer                     |                          | YES         |             | FK -> faculty.fac_id
 public       | course                   | group_id            | integer                     |                          | YES         |             | 
 public       | course                   | course_name         | character varying           |                      200 | YES         |             | 
 public       | course                   | course_abbreviation | character varying           |                       50 | YES         |             | 
 public       | course                   | duration            | integer                     |                          | YES         |             | 
 public       | course                   | degree              | character varying           |                       50 | YES         |             | 
 public       | course_code_mappings     | id                  | integer                     |                          | NO          | PK          | 
 public       | course_code_mappings     | year                | integer                     |                          | YES         |             | 
 public       | course_code_mappings     | old_course_code     | character varying           |                      100 | YES         |             | 
 public       | course_code_mappings     | new_course_code     | character varying           |                      100 | YES         |             | 
 public       | course_code_mappings     | course_name         | character varying           |                      200 | YES         |             | 
 public       | course_code_mappings     | institution_id      | integer                     |                          | YES         |             | 
 public       | course_code_mappings     | mapping_date        | timestamp without time zone |                          | YES         |             | 
 public       | faculty                  | fac_code            | character varying           |                       10 | YES         |             | 
 public       | faculty                  | fac_name            | character varying           |                      100 | YES         |             | 
 public       | faculty                  | fac_abv             | character varying           |                       20 | YES         |             | 
 public       | faculty                  | fac_id              | integer                     |                          | NO          | PK          | 
 public       | historical_course_codes  | id                  | integer                     |                          | NO          | PK          | 
 public       | historical_course_codes  | year                | integer                     |                          | YES         |             | 
 public       | historical_course_codes  | old_course_code     | character varying           |                      100 | YES         |             | 
 public       | historical_course_codes  | institution_id      | integer                     |                          | YES         |             | 
 public       | historical_course_codes  | import_timestamp    | timestamp without time zone |                          | YES         |             | 
 public       | historical_course_codes  | reconciled          | boolean                     |                          | YES         |             | 
 public       | institution              | inid                | character varying           |                       20 | NO          | PK          | 
 public       | institution              | inabv               | character varying           |                       50 | YES         |             | 
 public       | institution              | inname              | character varying           |                      200 | YES         |             | 
 public       | institution              | inst_state_id       | integer                     |                          | YES         |             | FK -> state.st_id
 public       | institution              | affiliated_state_id | integer                     |                          | YES         |             | FK -> state.st_id
 public       | institution              | intyp               | integer                     |                          | YES         |             | FK -> institution_type.intyp_id
 public       | institution              | inst_cat            | character varying           |                       20 | YES         |             | 
 public       | institution_name_by_date | inid                | character varying           |                       20 | YES         |             | 
 public       | institution_name_by_date | current_abv         | character varying           |                       50 | YES         |             | 
 public       | institution_name_by_date | current_name        | character varying           |                      200 | YES         |             | 
 public       | institution_name_by_date | historical_abv      | character varying           |                       50 | YES         |             | 
 public       | institution_name_by_date | historical_name     | character varying           |                      200 | YES         |             | 
 public       | institution_name_by_date | effective_from      | date                        |                          | YES         |             | 
 public       | institution_name_by_date | effective_to        | date                        |                          | YES         |             | 
 public       | institution_name_by_date | change_reason       | text                        |                          | YES         |             | 
 public       | institution_names        | inid                | character varying           |                       20 | NO          | PK          | FK -> institution.inid
 public       | institution_names        | inabv               | character varying           |                       50 | NO          |             | 
 public       | institution_names        | inname              | character varying           |                      200 | NO          |             | 
 public       | institution_names        | effective_from      | date                        |                          | NO          | PK          | 
 public       | institution_names        | effective_to        | date                        |                          | YES         |             | 
 public       | institution_names        | change_reason       | text                        |                          | YES         |             | 
 public       | institution_type         | intyp_id            | integer                     |                          | NO          | PK          | 
 public       | institution_type         | intyp_desc          | character varying           |                      100 | YES         |             | 
 public       | institution_type         | inst_cat            | character varying           |                       20 | YES         |             | 
 public       | lga                      | lg_id               | integer                     |                          | NO          | PK          | 
 public       | lga                      | lg_st_id            | integer                     |                          | YES         |             | FK -> state.st_id
 public       | lga                      | lg_abreviation      | character varying           |                       50 | YES         |             | 
 public       | lga                      | lg_name             | character varying           |                      100 | YES         |             | 
 public       | state                    | st_id               | integer                     |                          | NO          | PK          | 
 public       | state                    | st_abreviation      | character varying           |                       50 | YES         |             | 
 public       | state                    | st_name             | character varying           |                      100 | YES         |             | 
 public       | state                    | st_elds             | boolean                     |                          | YES         |             | 
 public       | subject                  | su_id               | integer                     |                          | NO          | PK          | 
 public       | subject                  | su_abrv             | character varying           |                       10 | YES         |             | 
 public       | subject                  | su_name             | character varying           |                      100 | YES         |             | 
 public       | subject_mapping_2023     | csv_code            | character varying           |                       10 | YES         |             | 
 public       | subject_mapping_2023     | su_id               | integer                     |                          | YES         |             | FK -> subject.su_id
 public       | subject_mapping_2023     | position            | integer                     |                          | YES         |             | 
(110 rows)

